"year","age","qx","lx","dx","Lx","Tx","ex","sex"
1900,34,"0.00437",73512,"321","73,352","3,126,298","42.53","F"
1900,35,"0.00458",73192,"335","73,024","3,052,946","41.71","F"
1900,36,"0.00494",72856,"360","72,677","2,979,922","40.90","F"
1900,37,"0.00482",72497,"350","72,322","2,907,245","40.10","F"
1900,38,"0.00451",72147,"325","71,985","2,834,923","39.29","F"
1900,39,"0.00448",71822,"322","71,661","2,762,939","38.47","F"
1900,40,"0.00460",71500,"329","71,336","2,691,278","37.64","F"
1900,41,"0.00469",71171,"334","71,004","2,619,942","36.81","F"
1900,42,"0.00476",70838,"337","70,669","2,548,937","35.98","F"
1900,43,"0.00503",70500,"355","70,323","2,478,269","35.15","F"
1900,44,"0.00505",70146,"354","69,968","2,407,946","34.33","F"
1900,45,"0.00526",69791,"367","69,608","2,337,978","33.50","F"
1900,46,"0.00539",69424,"374","69,237","2,268,370","32.67","F"
1900,47,"0.00575",69050,"397","68,852","2,199,133","31.85","F"
1900,48,"0.00592",68653,"406","68,450","2,130,281","31.03","F"
1900,49,"0.00628",68247,"429","68,033","2,061,831","30.21","F"
1900,50,"0.00656",67818,"445","67,596","1,993,798","29.40","F"
1900,51,"0.00727",67373,"490","67,128","1,926,202","28.59","F"
1900,52,"0.00765",66883,"511","66,627","1,859,074","27.80","F"
1900,53,"0.00805",66372,"534","66,105","1,792,447","27.01","F"
1900,54,"0.00807",65837,"531","65,572","1,726,342","26.22","F"
1900,55,"0.00837",65306,"547","65,033","1,660,770","25.43","F"
1900,56,"0.00914",64760,"592","64,464","1,595,737","24.64","F"
1900,57,"0.00990",64168,"635","63,850","1,531,273","23.86","F"
1900,58,"0.01038",63533,"660","63,203","1,467,423","23.10","F"
1900,59,"0.01108",62873,"696","62,525","1,404,220","22.33","F"
1900,60,"0.01237",62177,"769","61,792","1,341,695","21.58","F"
1900,61,"0.01331",61408,"817","60,999","1,279,903","20.84","F"
1900,62,"0.01474",60590,"893","60,144","1,218,904","20.12","F"
1900,63,"0.01606",59697,"959","59,217","1,158,761","19.41","F"
1900,64,"0.01674",58738,"983","58,247","1,099,543","18.72","F"
1900,65,"0.01794",57755,"1,036","57,237","1,041,297","18.03","F"
1900,66,"0.01949",56719,"1,105","56,167","984,060","17.35","F"
1900,67,"0.02081",55614,"1,157","55,035","927,893","16.68","F"
1900,68,"0.02165",54457,"1,179","53,867","872,858","16.03","F"
1900,69,"0.02296",53278,"1,223","52,666","818,991","15.37","F"
1900,70,"0.02513",52054,"1,308","51,400","766,325","14.72","F"
1900,71,"0.02737",50747,"1,389","50,052","714,924","14.09","F"
1900,72,"0.03027",49358,"1,494","48,611","664,872","13.47","F"
1900,73,"0.03229",47864,"1,546","47,091","616,261","12.88","F"
1900,74,"0.03419",46318,"1,583","45,526","569,170","12.29","F"
1900,75,"0.03628",44735,"1,623","43,923","523,644","11.71","F"
1900,76,"0.03935",43112,"1,697","42,263","479,721","11.13","F"
1900,77,"0.04218",41415,"1,747","40,542","437,457","10.56","F"
1900,78,"0.04627",39668,"1,836","38,750","396,916","10.01","F"
1900,79,"0.04954",37833,"1,874","36,895","358,165","9.47","F"
1900,80,"0.05620",35958,"2,021","34,948","321,270","8.93","F"
1900,81,"0.06011",33938,"2,040","32,918","286,322","8.44","F"
1900,82,"0.06453",31898,"2,058","30,869","253,404","7.94","F"
1900,83,"0.07291",29839,"2,175","28,752","222,536","7.46","F"
1900,84,"0.07979",27664,"2,207","26,560","193,784","7.00","F"
1900,85,"0.08888",25457,"2,263","24,325","167,224","6.57","F"
1900,86,"0.09660",23194,"2,241","22,074","142,899","6.16","F"
1900,87,"0.10639",20953,"2,229","19,839","120,825","5.77","F"
1900,88,"0.11968",18724,"2,241","17,604","100,986","5.39","F"
1900,89,"0.12690",16483,"2,092","15,437","83,383","5.06","F"
1900,90,"0.13718",14392,"1,974","13,404","67,945","4.72","F"
1900,91,"0.14864",12417,"1,846","11,495","54,541","4.39","F"
1900,92,"0.16007",10572,"1,692","9,726","43,046","4.07","F"
1900,93,"0.18423",8879,"1,636","8,062","33,321","3.75","F"
1900,94,"0.20021",7244,"1,450","6,519","25,259","3.49","F"
1900,95,"0.22006",5793,"1,275","5,156","18,741","3.23","F"
1900,96,"0.23851",4518,"1,078","3,980","13,585","3.01","F"
1900,97,"0.25991",3441,"894","2,994","9,605","2.79","F"
1900,98,"0.27881",2546,"710","2,191","6,611","2.60","F"
1900,99,"0.30675",1837,"563","1,555","4,420","2.41","F"
1900,100,"0.32915",1273,"419","1,064","2,865","2.25","F"
1900,101,"0.34475",854,"294","707","1,802","2.11","F"
1900,102,"0.37260",560,"209","455","1,095","1.96","F"
1900,103,"0.39781",351,"140","281","639","1.82","F"
1900,104,"0.42451",211,"90","167","358","1.69","F"
1900,105,"0.45317",122,"55","94","191","1.57","F"
1900,106,"0.48253",67,"32","50","97","1.46","F"
1900,107,"0.51270",34,"18","26","47","1.36","F"
1900,108,"0.54382",17,"9","12","21","1.26","F"
1900,109,"0.57602",8,"4","5","9","1.17","F"
1900,110,"0.60944",3,"2","2","4","1.09","F"
1900,111,"0.64414",1,"1","1","1","1.01","F"
1900,112,"0.68038",0,"0","0","0","0.94","F"
1900,113,"0.71823",0,"0","0","0","0.87","F"
1900,114,"0.75783",0,"0","0","0","0.80","F"
1900,115,"0.79799",0,"0","0","0","0.74","F"
1900,116,"0.83363",0,"0","0","0","0.69","F"
1900,117,"0.87066",0,"0","0","0","0.64","F"
1900,118,"0.90919",0,"0","0","0","0.60","F"
1900,119,"0.94927",0,"0","0","0","0.55","F"
1910,0,"0.12006",1e+05,"12,006","91,343","5,619,187","56.19","M"
1910,1,"0.02284",87994,"2,010","86,989","5,527,844","62.82","M"
1910,2,"0.01104",85984,"949","85,510","5,440,855","63.28","M"
1910,3,"0.00833",85035,"709","84,681","5,355,346","62.98","M"
1910,4,"0.00580",84327,"489","84,082","5,270,665","62.50","M"
1910,5,"0.00410",83838,"343","83,666","5,186,582","61.86","M"
1910,6,"0.00353",83495,"295","83,347","5,102,916","61.12","M"
1910,7,"0.00283",83200,"235","83,082","5,019,569","60.33","M"
1910,8,"0.00355",82965,"294","82,818","4,936,487","59.50","M"
1910,9,"0.00235",82670,"194","82,573","4,853,669","58.71","M"
1910,10,"0.00216",82476,"178","82,387","4,771,096","57.85","M"
1910,11,"0.00214",82298,"176","82,210","4,688,708","56.97","M"
1910,12,"0.00194",82122,"159","82,043","4,606,498","56.09","M"
1910,13,"0.00218",81963,"179","81,874","4,524,456","55.20","M"
1910,14,"0.00233",81784,"190","81,689","4,442,582","54.32","M"
1910,15,"0.00261",81594,"213","81,488","4,360,892","53.45","M"
1910,16,"0.00284",81381,"231","81,266","4,279,405","52.58","M"
1910,17,"0.00300",81150,"243","81,028","4,198,139","51.73","M"
1910,18,"0.00352",80907,"285","80,764","4,117,111","50.89","M"
1910,19,"0.00370",80622,"298","80,472","4,036,347","50.07","M"
1910,20,"0.00374",80323,"300","80,173","3,955,874","49.25","M"
1910,21,"0.00381",80023,"304","79,871","3,875,701","48.43","M"
1910,22,"0.00356",79719,"284","79,577","3,795,830","47.62","M"
1910,23,"0.00359",79434,"285","79,292","3,716,254","46.78","M"
1910,24,"0.00374",79149,"296","79,002","3,636,962","45.95","M"
1910,25,"0.00379",78854,"299","78,704","3,557,960","45.12","M"
1910,26,"0.00396",78555,"311","78,399","3,479,256","44.29","M"
1910,27,"0.00385",78244,"301","78,093","3,400,857","43.47","M"
1910,28,"0.00341",77943,"265","77,810","3,322,764","42.63","M"
1910,29,"0.00331",77677,"257","77,549","3,244,954","41.77","M"
1910,30,"0.00340",77420,"263","77,289","3,167,405","40.91","M"
1910,31,"0.00345",77157,"266","77,024","3,090,117","40.05","M"
1910,32,"0.00353",76891,"272","76,755","3,013,093","39.19","M"
1910,33,"0.00358",76619,"275","76,482","2,936,338","38.32","M"
1910,34,"0.00375",76345,"286","76,202","2,859,855","37.46","M"
1910,35,"0.00411",76059,"313","75,903","2,783,653","36.60","M"
1910,36,"0.00372",75746,"282","75,606","2,707,751","35.75","M"
1910,37,"0.00381",75465,"287","75,321","2,632,145","34.88","M"
1910,38,"0.00399",75177,"300","75,027","2,556,824","34.01","M"
1910,39,"0.00415",74877,"310","74,722","2,481,797","33.14","M"
1910,40,"0.00436",74567,"325","74,405","2,407,075","32.28","M"
1910,41,"0.00486",74242,"361","74,062","2,332,670","31.42","M"
1910,42,"0.00519",73881,"383","73,689","2,258,609","30.57","M"
1910,43,"0.00559",73498,"411","73,292","2,184,919","29.73","M"
1910,44,"0.00567",73087,"415","72,880","2,111,627","28.89","M"
1910,45,"0.00617",72673,"448","72,448","2,038,747","28.05","M"
1910,46,"0.00681",72224,"492","71,978","1,966,299","27.22","M"
1910,47,"0.00750",71733,"538","71,464","1,894,320","26.41","M"
1910,48,"0.00817",71195,"582","70,904","1,822,857","25.60","M"
1910,49,"0.00913",70613,"645","70,291","1,751,953","24.81","M"
1910,50,"0.01033",69968,"723","69,607","1,681,662","24.03","M"
1910,51,"0.01104",69246,"764","68,864","1,612,055","23.28","M"
1910,52,"0.01228",68482,"841","68,061","1,543,191","22.53","M"
1910,53,"0.01335",67641,"903","67,189","1,475,130","21.81","M"
1910,54,"0.01412",66738,"942","66,267","1,407,940","21.10","M"
1910,55,"0.01520",65796,"1,000","65,296","1,341,674","20.39","M"
1910,56,"0.01676",64796,"1,086","64,253","1,276,378","19.70","M"
1910,57,"0.01804",63710,"1,149","63,135","1,212,125","19.03","M"
1910,58,"0.02036",62560,"1,274","61,924","1,148,990","18.37","M"
1910,59,"0.02185",61287,"1,339","60,617","1,087,067","17.74","M"
1910,60,"0.02348",59948,"1,407","59,244","1,026,450","17.12","M"
1910,61,"0.02473",58541,"1,448","57,817","967,205","16.52","M"
1910,62,"0.02704",57093,"1,544","56,321","909,389","15.93","M"
1910,63,"0.02852",55550,"1,584","54,757","853,067","15.36","M"
1910,64,"0.02970",53965,"1,603","53,164","798,310","14.79","M"
1910,65,"0.03122",52363,"1,635","51,545","745,146","14.23","M"
1910,66,"0.03341",50728,"1,695","49,881","693,600","13.67","M"
1910,67,"0.03514",49033,"1,723","48,172","643,720","13.13","M"
1910,68,"0.03771",47310,"1,784","46,418","595,548","12.59","M"
1910,69,"0.03964",45526,"1,805","44,624","549,130","12.06","M"
1910,70,"0.04312",43721,"1,885","42,779","504,506","11.54","M"
1910,71,"0.04553",41836,"1,905","40,884","461,727","11.04","M"
1910,72,"0.04792",39932,"1,914","38,975","420,843","10.54","M"
1910,73,"0.05286",38018,"2,010","37,013","381,868","10.04","M"
1910,74,"0.05641",36009,"2,031","34,993","344,855","9.58","M"
1910,75,"0.06095",33978,"2,071","32,942","309,862","9.12","M"
1910,76,"0.06523",31907,"2,081","30,866","276,920","8.68","M"
1910,77,"0.06982",29825,"2,082","28,784","246,054","8.25","M"
1910,78,"0.07540",27743,"2,092","26,697","217,270","7.83","M"
1910,79,"0.07903",25651,"2,027","24,638","190,572","7.43","M"
1910,80,"0.08448",23624,"1,996","22,626","165,935","7.02","M"
1910,81,"0.09042",21628,"1,956","20,651","143,308","6.63","M"
1910,82,"0.09652",19673,"1,899","18,723","122,658","6.23","M"
1910,83,"0.10764",17774,"1,913","16,817","103,934","5.85","M"
1910,84,"0.11561",15861,"1,834","14,944","87,117","5.49","M"
1910,85,"0.12587",14027,"1,766","13,144","72,173","5.15","M"
1910,86,"0.13612",12262,"1,669","11,427","59,028","4.81","M"
1910,87,"0.14854",10593,"1,573","9,806","47,601","4.49","M"
1910,88,"0.16026",9019,"1,445","8,296","37,796","4.19","M"
1910,89,"0.17820",7574,"1,350","6,899","29,499","3.89","M"
1910,90,"0.19257",6224,"1,199","5,625","22,600","3.63","M"
1910,91,"0.20698",5025,"1,040","4,505","16,976","3.38","M"
1910,92,"0.22877",3985,"912","3,529","12,470","3.13","M"
1910,93,"0.24908",3074,"766","2,691","8,941","2.91","M"
1910,94,"0.27105",2308,"626","1,995","6,250","2.71","M"
1910,95,"0.29359",1682,"494","1,435","4,255","2.53","M"
1910,96,"0.31553",1188,"375","1,001","2,819","2.37","M"
1910,97,"0.33642",813,"274","677","1,818","2.23","M"
1910,98,"0.35583",540,"192","444","1,141","2.11","M"
1910,99,"0.37338",348,"130","283","698","2.01","M"
1910,100,"0.39134",218,"85","175","415","1.90","M"
1910,101,"0.40980",133,"54","105","240","1.81","M"
1910,102,"0.42883",78,"34","61","134","1.71","M"
1910,103,"0.44849",45,"20","35","73","1.63","M"
1910,104,"0.46882",25,"12","19","38","1.54","M"
1910,105,"0.48990",13,"6","10","19","1.46","M"
1910,106,"0.51178",7,"3","5","9","1.38","M"
1910,107,"0.53451",3,"2","2","4","1.31","M"
1910,108,"0.55816",2,"1","1","2","1.24","M"
1910,109,"0.58277",1,"0","0","1","1.17","M"
1910,110,"0.60840",0,"0","0","0","1.10","M"
1910,111,"0.63511",0,"0","0","0","1.04","M"
1910,112,"0.66295",0,"0","0","0","0.98","M"
1910,113,"0.69197",0,"0","0","0","0.92","M"
1910,114,"0.72225",0,"0","0","0","0.86","M"
1910,115,"0.75383",0,"0","0","0","0.81","M"
1910,116,"0.78679",0,"0","0","0","0.76","M"
1910,117,"0.82118",0,"0","0","0","0.71","M"
1910,118,"0.85707",0,"0","0","0","0.66","M"
1910,119,"0.89447",0,"0","0","0","0.61","M"
1910,0,"0.09826",1e+05,"9,826","93,083","6,370,909","63.71","F"
1910,1,"0.02159",90174,"1,947","89,201","6,277,826","69.62","F"
1910,2,"0.00987",88227,"870","87,792","6,188,626","70.14","F"
1910,3,"0.00782",87357,"683","87,015","6,100,834","69.84","F"
1910,4,"0.00536",86673,"465","86,441","6,013,819","69.38","F"
1910,5,"0.00372",86208,"320","86,048","5,927,378","68.76","F"
1910,6,"0.00311",85888,"267","85,754","5,841,329","68.01","F"
1910,7,"0.00243",85621,"208","85,517","5,755,575","67.22","F"
1910,8,"0.00332",85413,"283","85,272","5,670,058","66.38","F"
1910,9,"0.00205",85130,"175","85,043","5,584,786","65.60","F"
1910,10,"0.00184",84955,"157","84,877","5,499,744","64.74","F"
1910,11,"0.00178",84799,"151","84,723","5,414,867","63.86","F"
1910,12,"0.00164",84648,"139","84,578","5,330,144","62.97","F"
1910,13,"0.00186",84509,"157","84,430","5,245,565","62.07","F"
1910,14,"0.00203",84352,"171","84,266","5,161,135","61.19","F"
1910,15,"0.00238",84181,"201","84,080","5,076,869","60.31","F"
1910,16,"0.00267",83980,"224","83,868","4,992,788","59.45","F"
1910,17,"0.00283",83756,"237","83,637","4,908,920","58.61","F"
1910,18,"0.00330",83519,"275","83,381","4,825,283","57.78","F"
1910,19,"0.00346",83243,"288","83,099","4,741,902","56.96","F"
1910,20,"0.00341",82955,"283","82,814","4,658,803","56.16","F"
1910,21,"0.00351",82672,"290","82,527","4,575,990","55.35","F"
1910,22,"0.00335",82382,"276","82,244","4,493,462","54.54","F"
1910,23,"0.00326",82106,"267","81,973","4,411,218","53.73","F"
1910,24,"0.00331",81839,"271","81,704","4,329,245","52.90","F"
1910,25,"0.00336",81568,"274","81,431","4,247,542","52.07","F"
1910,26,"0.00357",81294,"290","81,149","4,166,111","51.25","F"
1910,27,"0.00333",81004,"269","80,869","4,084,961","50.43","F"
1910,28,"0.00298",80735,"240","80,615","4,004,092","49.60","F"
1910,29,"0.00285",80494,"229","80,380","3,923,477","48.74","F"
1910,30,"0.00277",80265,"222","80,154","3,843,097","47.88","F"
1910,31,"0.00273",80043,"219","79,934","3,762,943","47.01","F"
1910,32,"0.00264",79824,"211","79,719","3,683,010","46.14","F"
1910,33,"0.00280",79613,"223","79,502","3,603,291","45.26","F"
1910,34,"0.00282",79390,"224","79,278","3,523,789","44.39","F"
1910,35,"0.00288",79166,"228","79,052","3,444,511","43.51","F"
1910,36,"0.00280",78939,"221","78,828","3,365,459","42.63","F"
1910,37,"0.00279",78718,"220","78,608","3,286,630","41.75","F"
1910,38,"0.00284",78498,"223","78,386","3,208,023","40.87","F"
1910,39,"0.00283",78275,"222","78,164","3,129,636","39.98","F"
1910,40,"0.00297",78053,"232","77,937","3,051,472","39.09","F"
1910,41,"0.00318",77821,"248","77,697","2,973,535","38.21","F"
1910,42,"0.00332",77573,"257","77,444","2,895,838","37.33","F"
1910,43,"0.00346",77316,"268","77,182","2,818,394","36.45","F"
1910,44,"0.00351",77048,"270","76,913","2,741,212","35.58","F"
1910,45,"0.00365",76778,"280","76,638","2,664,299","34.70","F"
1910,46,"0.00399",76497,"305","76,345","2,587,661","33.83","F"
1910,47,"0.00436",76192,"332","76,026","2,511,316","32.96","F"
1910,48,"0.00466",75860,"354","75,683","2,435,290","32.10","F"
1910,49,"0.00494",75506,"373","75,320","2,359,607","31.25","F"
1910,50,"0.00543",75134,"408","74,929","2,284,287","30.40","F"
1910,51,"0.00588",74725,"439","74,506","2,209,357","29.57","F"
1910,52,"0.00638",74286,"474","74,049","2,134,852","28.74","F"
1910,53,"0.00685",73812,"505","73,560","2,060,803","27.92","F"
1910,54,"0.00722",73307,"529","73,042","1,987,243","27.11","F"
1910,55,"0.00751",72778,"547","72,505","1,914,201","26.30","F"
1910,56,"0.00808",72231,"583","71,940","1,841,696","25.50","F"
1910,57,"0.00876",71648,"628","71,334","1,769,756","24.70","F"
1910,58,"0.00982",71020,"697","70,672","1,698,422","23.91","F"
1910,59,"0.01041",70323,"732","69,957","1,627,751","23.15","F"
1910,60,"0.01123",69591,"782","69,200","1,557,794","22.39","F"
1910,61,"0.01197",68809,"824","68,397","1,488,594","21.63","F"
